13,73818256221367368,74029293667117562
14,74169893649933159,73958856203603371
15,74029293667117562,73958924923284507
16,73958924923246125,73958924923282870
17,74170031222807106,73958993642614857
18,74170031222807106,74169893649815955
19,74029293667117562,73818256221367368
20,74169893649933159,73958924923288116
21,73958924923286343,73958924923293232
22,74170031222807106,73958993642614857
26,73958993642761257,73958924923298522
27,73958924923291406,73958924923293232
28,73958924923246125,74029293667117562
30,73958924923293232,73958924923293232
32,73958993642761257,73958924923288097
33,73958993642761257,73958924923295036
34,73958993642761257,73958924923288097
37,73958924923298522,74380931162638931
38,74170031222807106,73958924923302028
39,74170031222807106,73958924923295036
40,74170031222807106,73958924923295036
41,74170031222807106,73958924923286347
42,74170031222807106,73958924923239215
43,73958924923312596,73958924923312596
44,73958924923286272,73958924923237561
46,74170031222807106,74170031222807106
48,74170031222807106,73958924923295036
49,74170031222807106,73958924923300351
50,74170031222807106,73958924923314129
51,74170031222807106,73958924923286347
53,73958924923300351,73958924923300351
54,74170031222807106,73958924923291406
57,74170031222807106,73958924923295036
59,74170031222807106,73958924923291406
60,74170031222807106,73958924923293232
61,73958993642771356,73958924923218569
64,73958924923286272,73043787584274398
65,74170031222807106,73958924923314129
67,73958924923310552,74099593691979647
68,0,0
71,73958924923286272,73958924923319126
74,0,0
75,0,0
76,0,73958924923343271
80,73958924923317455,73818256221367368
81,73958924923312596,74170031222807106
83,0,0
87,74170031222807106,73958924923293232
88,74170031222807106,73958924923293232
89,0,73958856203857040
92,0,73958856203857040
96,73818187501948827,73818187501948827
97,73958924923317455,73818187501948827
99,73958924923324732,73818187501948827
102,73958924923352201,73958924923341089
106,0,73958993642837786
107,73958924923348485,73958993642821967
110,73958924923314129,73958856203857040
